id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2工具，3材料，4建筑，6机械，7出现在食谱内，8出现在秘银锅内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795铁锅，150029融合台）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）
22115,秘银镐+黄铜矛,540115,,,,,,,,,,1,0,3,3,0,150029,,11013,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22116,秘银镐+能量矛,540116,,,,,,,,,,1,0,3,3,0,150029,,11013,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22117,秘银镐+魔鬼鱼叉,540117,,,,,,,,,,1,0,3,3,0,150029,,11013,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22118,钛合金镐+黄铜镐,540118,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22119,钛合金镐+石镐,540119,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22120,钛合金镐+秘银镐,540120,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22121,钛合金镐+钛合金镐,540121,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,11014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22122,钛合金镐+木棒,540122,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22123,钛合金镐+尖尖碰碰锤,540123,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22124,钛合金镐+冻结棒,540124,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22125,钛合金镐+钛金战锤,540125,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22126,钛合金镐+石剑,540126,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22127,钛合金镐+短剑,540127,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22128,钛合金镐+收割者,540128,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22129,钛合金镐+能量剑,540129,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22130,钛合金镐+石矛,540130,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22131,钛合金镐+黄铜矛,540131,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22132,钛合金镐+能量矛,540132,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22133,钛合金镐+魔鬼鱼叉,540133,,,,,,,,,,1,0,3,3,0,150029,,11014,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22134,钻头+黄铜镐,540134,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22135,钻头+石镐,540135,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22136,钻头+秘银镐,540136,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22137,钻头+钛合金镐,540137,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22138,钻头+钻头,540138,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22139,钻头+星瞳钻头,540139,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11016,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22140,钻头+木棒,540140,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22141,钻头+尖尖碰碰锤,540141,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22142,钻头+冻结棒,540142,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22143,钻头+钛金战锤,540143,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22144,钻头+石剑,540144,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22145,钻头+短剑,540145,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22146,钻头+收割者,540146,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22147,钻头+能量剑,540147,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22148,钻头+石矛,540148,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22149,钻头+黄铜矛,540149,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22150,钻头+能量矛,540150,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22151,钻头+魔鬼鱼叉,540151,,,,,,,,,,1,0,3,3,0,150029,,11015,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22152,星瞳钻头+黄铜镐,540152,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,11011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22153,星瞳钻头+石镐,540153,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,11012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22154,星瞳钻头+秘银镐,540154,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,11013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22155,星瞳钻头+钛合金镐,540155,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,11014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22156,星瞳钻头+星瞳钻头,540156,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,11016,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22157,星瞳钻头+木棒,540157,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22158,星瞳钻头+尖尖碰碰锤,540158,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22159,星瞳钻头+冻结棒,540159,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22160,星瞳钻头+钛金战锤,540160,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22161,星瞳钻头+石剑,540161,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22162,星瞳钻头+短剑,540162,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22163,星瞳钻头+收割者,540163,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22164,星瞳钻头+能量剑,540164,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22165,星瞳钻头+石矛,540165,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22166,星瞳钻头+黄铜矛,540166,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22167,星瞳钻头+能量矛,540167,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22168,星瞳钻头+魔鬼鱼叉,540168,,,,,,,,,,1,0,3,3,0,150029,,11016,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22169,黄铜铲+黄铜铲,540169,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,11021,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22170,黄铜铲+石铲,540170,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22171,黄铜铲+木棒,540171,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22172,黄铜铲+尖尖碰碰锤,540172,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22173,黄铜铲+冻结棒,540173,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22174,黄铜铲+钛金战锤,540174,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22175,黄铜铲+石剑,540175,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22176,黄铜铲+短剑,540176,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22177,黄铜铲+收割者,540177,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22178,黄铜铲+能量剑,540178,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22179,黄铜铲+石矛,540179,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22180,黄铜铲+黄铜矛,540180,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22181,黄铜铲+能量矛,540181,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22182,黄铜铲+魔鬼鱼叉,540182,,,,,,,,,,1,0,3,3,0,150029,,11021,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22183,石铲+石铲,540183,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22184,石铲+木棒,540184,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22185,石铲+尖尖碰碰锤,540185,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22186,石铲+冻结棒,540186,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22187,石铲+钛金战锤,540187,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22188,石铲+石剑,540188,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22189,石铲+短剑,540189,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22190,石铲+收割者,540190,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22191,石铲+能量剑,540191,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22192,石铲+石矛,540192,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22193,石铲+黄铜矛,540193,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22194,石铲+能量矛,540194,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22195,石铲+魔鬼鱼叉,540195,,,,,,,,,,1,0,3,3,0,150029,,11022,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22196,秘银铲+黄铜铲,540196,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,11021,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22197,秘银铲+石铲,540197,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22198,秘银铲+秘银铲,540198,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,11023,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22199,秘银铲+木棒,540199,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22200,秘银铲+尖尖碰碰锤,540200,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22201,秘银铲+冻结棒,540201,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22202,秘银铲+钛金战锤,540202,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22203,秘银铲+石剑,540203,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22204,秘银铲+短剑,540204,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22205,秘银铲+收割者,540205,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22206,秘银铲+能量剑,540206,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22207,秘银铲+石矛,540207,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22208,秘银铲+黄铜矛,540208,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22209,秘银铲+能量矛,540209,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22210,秘银铲+魔鬼鱼叉,540210,,,,,,,,,,1,0,3,3,0,150029,,11023,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22211,钛合金铲+黄铜铲,540211,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,11021,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22212,钛合金铲+石铲,540212,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22213,钛合金铲+秘银铲,540213,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,11023,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22214,钛合金铲+钛合金铲,540214,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,11024,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22215,钛合金铲+木棒,540215,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22216,钛合金铲+尖尖碰碰锤,540216,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22217,钛合金铲+冻结棒,540217,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22218,钛合金铲+钛金战锤,540218,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22219,钛合金铲+石剑,540219,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22220,钛合金铲+短剑,540220,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22221,钛合金铲+收割者,540221,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22222,钛合金铲+能量剑,540222,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22223,钛合金铲+石矛,540223,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22224,钛合金铲+黄铜矛,540224,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22225,钛合金铲+能量矛,540225,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22226,钛合金铲+魔鬼鱼叉,540226,,,,,,,,,,1,0,3,3,0,150029,,11024,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22227,钨金铲+黄铜铲,540227,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,11021,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22228,钨金铲+石铲,540228,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,11022,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22229,钨金铲+秘银铲,540229,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,11023,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22230,钨金铲+钛合金铲,540230,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,11024,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22231,钨金铲+钨金铲,540231,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,11025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22232,钨金铲+木棒,540232,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22233,钨金铲+尖尖碰碰锤,540233,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22234,钨金铲+冻结棒,540234,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22235,钨金铲+钛金战锤,540235,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22236,钨金铲+石剑,540236,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22237,钨金铲+短剑,540237,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22238,钨金铲+收割者,540238,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22239,钨金铲+能量剑,540239,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22240,钨金铲+石矛,540240,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22241,钨金铲+黄铜矛,540241,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22242,钨金铲+能量矛,540242,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22243,钨金铲+魔鬼鱼叉,540243,,,,,,,,,,1,0,3,3,0,150029,,11025,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22244,黄铜耙+黄铜耙,540244,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,11031,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22245,黄铜耙+石耙,540245,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,11032,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22246,黄铜耙+木棒,540246,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22247,黄铜耙+尖尖碰碰锤,540247,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22248,黄铜耙+冻结棒,540248,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22249,黄铜耙+钛金战锤,540249,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22250,黄铜耙+石剑,540250,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22251,黄铜耙+短剑,540251,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22252,黄铜耙+收割者,540252,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22253,黄铜耙+能量剑,540253,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22254,黄铜耙+石矛,540254,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22255,黄铜耙+黄铜矛,540255,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22256,黄铜耙+能量矛,540256,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22257,黄铜耙+魔鬼鱼叉,540257,,,,,,,,,,1,0,3,3,0,150029,,11031,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22258,石耙+石耙,540258,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,11032,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22259,石耙+木棒,540259,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22260,石耙+尖尖碰碰锤,540260,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22261,石耙+冻结棒,540261,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22262,石耙+钛金战锤,540262,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22263,石耙+石剑,540263,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22264,石耙+短剑,540264,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22265,石耙+收割者,540265,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22266,石耙+能量剑,540266,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22267,石耙+石矛,540267,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22268,石耙+黄铜矛,540268,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22269,石耙+能量矛,540269,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22270,石耙+魔鬼鱼叉,540270,,,,,,,,,,1,0,3,3,0,150029,,11032,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22271,秘银耙+黄铜耙,540271,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,11031,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22272,秘银耙+石耙,540272,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,11032,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22273,秘银耙+秘银耙,540273,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,11033,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22274,秘银耙+木棒,540274,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22275,秘银耙+尖尖碰碰锤,540275,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,11230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22276,秘银耙+冻结棒,540276,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12316,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22277,秘银耙+钛金战锤,540277,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22278,秘银耙+石剑,540278,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22279,秘银耙+短剑,540279,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22280,秘银耙+收割者,540280,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22281,秘银耙+能量剑,540281,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22282,秘银耙+石矛,540282,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22283,秘银耙+黄铜矛,540283,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22284,秘银耙+能量矛,540284,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22285,秘银耙+魔鬼鱼叉,540285,,,,,,,,,,1,0,3,3,0,150029,,11033,1,,12063,1,,,,,,,,,,,,,,,,,,,,,,,,,,
