任务id,任务名称（stringdef,多少级显示,是否显示进度（0=不显示，1=显示）,任务类型(1:新手引导任务，2：其它）,任务难度（1普通，2困难，3挑战),任务权重（1~10）,更新版本,完成类型,完成次数,任务额外条件id,任务额外条件图标是否显示（0=不显示，1=显示）,任务额外条件参数,前置任务id,经验奖励,任务奖励类型type(2:家园币，5：道具),任务奖励1ID,奖励1数量,任务奖励类型type(2:家园币，5：道具),任务奖励2ID,奖励2数量,任务奖励类型type(2:家园币，5：道具),任务奖励3ID,奖励3数量,任务奖励类型type(2:家园币，5：道具),任务奖励4ID,奖励4数量,任务奖励类型type(2:家园币，5：道具),任务奖励5ID,奖励5数量,任务奖励类型type(2:家园币，5：道具),任务奖励6ID,奖励6数量,任务标题文本id（stringdef,任务描述文本id（stringdef,剧情ID（stringdef,npcID,npcID类型,位置坐标x,位置坐标y,位置坐标z,备注
2229,101094,6,1,2,3,8,1.5.0,20,1,68004,1,,18,400,2,,5000,5,68004,3,,,,,,,,,,,,,110502,,,,,,,,使用精灵糖帮助宠物培养属性
2230,101094,11,1,2,3,8,1.5.0,20,1,68004,1,,18,600,2,,7500,5,68004,4,,,,,,,,,,,,,110502,,,,,,,,使用精灵糖帮助宠物培养属性
2231,101094,16,1,2,3,8,1.5.0,20,1,68004,1,,18,800,2,,10000,5,68004,5,,,,,,,,,,,,,110502,,,,,,,,使用精灵糖帮助宠物培养属性
2232,101094,21,1,2,3,8,1.5.0,20,1,68004,1,,18,1000,2,,12500,5,68004,6,,,,,,,,,,,,,110502,,,,,,,,使用精灵糖帮助宠物培养属性
2233,101094,26,1,2,3,8,1.5.0,20,1,68004,1,,18,1200,2,,15000,5,68004,8,,,,,,,,,,,,,110502,,,,,,,,使用精灵糖帮助宠物培养属性
2234,101094,1,1,2,1,8,1.5.0,58,1,1,,,18,100,2,,1500,5,75015,1,,,,,,,,,,,,,110503,,,,,,,,出发去平原探险
2235,101094,6,1,2,1,8,1.5.0,58,1,1,,,18,200,2,,3000,5,75015,1,,,,,,,,,,,,,110503,,,,,,,,出发去平原探险
2236,101094,6,1,2,2,8,1.5.0,58,1,2,,,18,300,2,,4000,5,75015,2,,,,,,,,,,,,,110504,,,,,,,,出发去森林探险
2237,101094,11,1,2,1,8,1.5.0,58,1,1,,,18,300,2,,4500,5,75015,2,,,,,,,,,,,,,110503,,,,,,,,出发去平原探险
2238,101094,11,1,2,2,8,1.5.0,58,1,2,,,18,450,2,,6000,5,75015,3,,,,,,,,,,,,,110504,,,,,,,,出发去森林探险
2239,101094,11,1,2,3,8,1.5.0,58,1,3,,,18,600,2,,7500,5,75015,4,,,,,,,,,,,,,110505,,,,,,,,出发去山丘探险
2240,101094,16,1,2,1,8,1.5.0,58,1,1,,,18,400,2,,6000,5,75015,2,,,,,,,,,,,,,110503,,,,,,,,出发去平原探险
2241,101094,16,1,2,2,8,1.5.0,58,1,2,,,18,600,2,,8000,5,75015,3,,,,,,,,,,,,,110504,,,,,,,,出发去森林探险
2242,101094,16,1,2,3,8,1.5.0,58,1,3,,,18,800,2,,10000,5,75015,5,,,,,,,,,,,,,110505,,,,,,,,出发去山丘探险
2243,101094,21,1,2,1,8,1.5.0,58,1,1,,,18,500,2,,7500,5,75015,3,,,,,,,,,,,,,110503,,,,,,,,出发去平原探险
2244,101094,21,1,2,2,8,1.5.0,58,1,2,,,18,750,2,,10000,5,75015,4,,,,,,,,,,,,,110504,,,,,,,,出发去森林探险
2245,101094,21,1,2,3,8,1.5.0,58,1,3,,,18,1000,2,,12500,5,75015,6,,,,,,,,,,,,,110505,,,,,,,,出发去山丘探险
2246,101094,26,1,2,1,8,1.5.0,58,1,1,,,18,600,2,,9000,5,75015,3,,,,,,,,,,,,,110503,,,,,,,,出发去平原探险
2247,101094,26,1,2,2,8,1.5.0,58,1,2,,,18,900,2,,12000,5,75015,4,,,,,,,,,,,,,110504,,,,,,,,出发去森林探险
2248,101094,26,1,2,3,8,1.5.0,58,1,3,,,18,1200,2,,15000,5,75015,8,,,,,,,,,,,,,110505,,,,,,,,出发去山丘探险
2249,101094,1,1,2,3,8,1.5.0,25,1,,,,18,200,2,,2000,5,75015,2,,,,,,,,,,,,,110506,,,,,,,,制作任意1件家居/建材
2250,101094,6,1,2,3,8,1.5.0,25,1,,,,18,400,2,,4000,5,75015,3,,,,,,,,,,,,,110506,,,,,,,,制作任意1件家居/建材
2251,101094,11,1,2,3,8,1.5.0,25,1,,,,18,600,2,,6000,5,75015,4,,,,,,,,,,,,,110506,,,,,,,,制作任意1件家居/建材
2252,101094,16,1,2,3,8,1.5.0,25,1,,,,18,800,2,,8000,5,75015,5,,,,,,,,,,,,,110506,,,,,,,,制作任意1件家居/建材
2253,101094,21,1,2,3,8,1.5.0,25,1,,,,18,1000,2,,10000,5,75015,6,,,,,,,,,,,,,110506,,,,,,,,制作任意1件家居/建材
2254,101094,26,1,2,3,8,1.5.0,25,1,,,,18,1200,2,,12000,5,75015,8,,,,,,,,,,,,,110506,,,,,,,,制作任意1件家居/建材
2255,101094,1,1,2,1,8,1.5.0,26,2,,,,18,100,2,,1000,5,75015,1,,,,,,,,,,,,,110507,,,,,,,,进入编辑家园模式，摆放家具
2256,101094,6,1,2,1,8,1.5.0,26,2,,,,18,200,2,,2000,5,75015,1,,,,,,,,,,,,,110507,,,,,,,,进入编辑家园模式，摆放家具
2257,101094,11,1,2,1,8,1.5.0,26,2,,,,18,300,2,,3000,5,75015,2,,,,,,,,,,,,,110507,,,,,,,,进入编辑家园模式，摆放家具
2258,101094,16,1,2,1,8,1.5.0,26,2,,,,18,400,2,,4000,5,75015,2,,,,,,,,,,,,,110507,,,,,,,,进入编辑家园模式，摆放家具
2259,101094,21,1,2,1,8,1.5.0,26,2,,,,18,500,2,,5000,5,75015,3,,,,,,,,,,,,,110507,,,,,,,,进入编辑家园模式，摆放家具
2260,101094,26,1,2,1,8,1.5.0,26,2,,,,18,600,2,,6000,5,75015,3,,,,,,,,,,,,,110507,,,,,,,,进入编辑家园模式，摆放家具
2261,101094,1,1,2,1,8,1.5.0,54,3,,,,18,100,2,,1000,5,75008,1,,,,,,,,,,,,,110508,,,,,,,,去好友的家园逛一逛
2262,101094,6,1,2,1,8,1.5.0,54,3,,,,18,200,2,,2000,5,75008,1,,,,,,,,,,,,,110508,,,,,,,,去好友的家园逛一逛
2263,101094,11,1,2,1,8,1.5.0,54,3,,,,18,300,2,,3000,5,75008,2,,,,,,,,,,,,,110508,,,,,,,,去好友的家园逛一逛
2264,101094,16,1,2,1,8,1.5.0,54,3,,,,18,400,2,,4000,5,75008,2,,,,,,,,,,,,,110508,,,,,,,,去好友的家园逛一逛
2265,101094,21,1,2,1,8,1.5.0,54,3,,,,18,500,2,,5000,5,75008,3,,,,,,,,,,,,,110508,,,,,,,,去好友的家园逛一逛
2266,101094,26,1,2,1,8,1.5.0,54,3,,,,18,600,2,,6000,5,75008,3,,,,,,,,,,,,,110508,,,,,,,,去好友的家园逛一逛
2267,101094,1,0,2,2,8,1.5.0,55,300,,,,18,150,2,,1500,5,75008,1,,,,,,,,,,,,,110509,,,,,,,,在家园游玩5分钟吧
2268,101094,6,0,2,2,8,1.5.0,55,600,,,,18,300,2,,3000,5,75008,2,,,,,,,,,,,,,110510,,,,,,,,在家园游玩10分钟吧
2269,101094,11,0,2,2,8,1.5.0,55,600,,,,18,450,2,,4500,5,75008,3,,,,,,,,,,,,,110511,,,,,,,,在家园游玩10分钟
2270,101094,16,0,2,2,8,1.5.0,55,900,,,,18,600,2,,6000,5,75008,3,,,,,,,,,,,,,110512,,,,,,,,在家园游玩15分钟
2271,101094,21,0,2,2,8,1.5.0,55,900,,,,18,750,2,,7500,5,75008,4,,,,,,,,,,,,,110513,,,,,,,,在家园游玩15分钟
2272,101094,26,0,2,2,8,1.5.0,55,1200,,,,18,900,2,,9000,5,75008,4,,,,,,,,,,,,,110514,,,,,,,,在家园游玩20分钟
2273,101094,1,1,2,3,8,1.5.0,56,1,,,,18,200,2,,2000,5,68101,2,,,,,,,,,,,,,110515,,,,,,,,收养一只新的宠物伙伴吧！
2274,101094,6,1,2,3,8,1.5.0,56,1,,,,18,400,2,,4000,5,68101,2,,,,,,,,,,,,,110515,,,,,,,,收养一只新的宠物伙伴吧！
2275,101094,11,1,2,3,8,1.5.0,56,1,,,,18,600,2,,6000,5,68101,3,,,,,,,,,,,,,110515,,,,,,,,收养一只新的宠物伙伴吧！
2276,101094,16,1,2,3,8,1.5.0,56,1,,,,18,800,2,,8000,5,68101,3,,,,,,,,,,,,,110515,,,,,,,,收养一只新的宠物伙伴吧！
2277,101094,21,1,2,3,8,1.5.0,56,1,,,,18,1000,2,,10000,5,68101,4,,,,,,,,,,,,,110515,,,,,,,,收养一只新的宠物伙伴吧！
2278,101094,26,1,2,3,8,1.5.0,56,1,,,,18,1200,2,,12000,5,68101,4,,,,,,,,,,,,,110515,,,,,,,,收养一只新的宠物伙伴吧！
