ID,名称,文本,作者
169,NHÀ TÔI BỊ CHÁY VÌ MỘT NGUYÊN DO .... !,"NHÀ TÔI BỊ CHÁY VÌ MỘT NGUYÊN DO .... !
Chả là như vầy, vào thời điểm tui chơi mw lúc đó còn chưa có phương thức đưa gấu trúc """"đi xa"""" ( tức là chết ), mà lúc đó ko phải chỉ có mình tui chơi, có cả CHỊ của tui nữa! nhưng mà là chơi chung 1 acc :_) tui đã nảy ra một ý tưởng:
- Nếu dung nham có thể thiêu đốt tất cả mọi thứ vậy thì đối với gấu trúc thì sao?
Không chần chờ gì nữa, tui """"sắn tay áo"""" vào làm việc, lúc đó cứ như gấu trúc hiểu ý tui vậy, nó liên tục chạy đi chỗ khác nên tui đã đào một cái hố SÂU TẦM CHỪNG 2-3 BLOCK, ĐỔ LAVA XUỐNG, chưa vui mừng được bao lâu vì tưởng gấu trúc đã """"thăng thiên"""" thì ko, nó thì vẫn cháy nhưng ko chết, và đáng buồn thay. NHÀ TUI = GỖ. Mọi chuyện đã xảy ra giống với tiêu đề đấy. NHÀ TÔI BỊ CHÁY.",Đạo Sĩ Phô Mai
170,Cây Viết Mini World,"Lần đầu tiên tui đến với mini world là thông qua một youtuber """"GAME ONE"""", khi tui tải về và bắt đầu chơi, tui vẫn nhớ như in cái ngôi nhà ĐẦU TIÊN của tui. Trong mắt tui lúc đó, nó đẹp lắm! nhưng chỉ là lúc đó thôi, chứ bây giờ thì nó ..... cứ sao sao í! tường ốp gỗ còn sàn lót kc, tất nhiên là ko thể thiếu vài khẩu súng, kiếm giáp, kc gắn trên tường rồi. Vì sàn được lót = kc nên nó siêu siêu SÁNG, CHÓI LÒA.",Đạo Sĩ Phô Mai
171,Cây Viết Mini World,"TRỞ THÀNH Mini - DEVELOPERS
Sau khi phá đảo chế độ mạo hiểm, mình đã dạo Sảnh Liên Thông để trải nghiệm những thể loại map khác. Dạo Sảnh khá lâu, mình đã cảm thấy chán và quyết định chuyển từ Player sang Builder đồng thời cũng muốn trở thành Developers của Mini World.
Mình đã tìm hiểu về chế độ map Dev, về Plugin và Trigger Và đã tạo ra những con map đầu tiên, tuy kém chất lượng nhưng rất tâm huyết. Mặc dù thế, mình vẫn tìm cách thu hút mọi người chơi map và cũng cải thiện khả năng tạo map của bản thân.
Nhờ vào những khóa học Mini Camp của Mini World tổ chức, mà trình độ tạo map của mình cũng đã cải thiện. Và được trở thành Developers ngay trong khóa học đầu tiên. Từ đó mình đã chăm chỉ làm map và tạo ra những map mang thương hiệu của mình.
Gần đây mình và một số Pro Builder khác đã giúp cộng đồng Mini World Việt Nam đạt những giải cao trong các sự kiện tạo map mới nhất của NPH.",Phạm Dương
172,Cây Viết Mini World,"CÁI TÊN HUYỀN THOẠI VÀ CÂU CHUYỆN ĐỔI TÊN
Nhắc tới mình, một số người chơi lâu năm sẽ nhớ đến cái tên cũ của mình. Hồi đó, mình nổi danh không phải do build đẹp hay tạo map thú bị, mà là nhờ cái tên. Không biết sơ suất như nào mà mình làm lộ password ra ngoài. Một người đã vào nick và đổi tên. Cái tên đó đã gắn với mình cùng những lời châm chọc của nhiều người trong thời gian rất lâu. Trong suốt khoảng thời gian đó, mình chỉ build map hoặc chơi sinh tồn với những người bạn thân. Một số người trải nghiệm map mình còn bình luận rằng """"Đọc thông tin map xong mất hứng chơi map"""". Mình bị mọi người kì thị và xa lánh vì cái tên đó.
Sau một khoảng thời gian tích góp ngân sách thì mình cũng đã đổi được tên. Cái tên gắn bó đến bây giờ. Sau khi đổi tên acc thì map của mình cũng đã tăng lượt tương tác. Như thể rằng """"cái tên quyết định tất cả"""".
Sau khi nạp một số tiền không nhỏ để đổi tên thì game có """"Sự kiện cặp đôi"""" với phần thưởng là thẻ đổi tên. Hơn nữa, khi sự kiện đó kết thúc, NPH cho người chơi đổi tên miễn phí nhiều lần. Tôi cảm thấy bất lực!",Phạm Dương
173,Cây Viết Mini World,"KỈ NIỆM ĐẦU TIÊN VỀ """"Mini World : CREATA""""
Được sự hướng dẫn của những người bạn, mình đã hiểu được cách chơi Mini World trong thời gian ngắn, nhưng chỉ với chế độ sinh tồn vì họ cũng chỉ là những người chơi """"mạo hiểm"""".
Chơi game được một thời gian ngắn, mình có việc xa nhà hơn một tháng. Trong suốt thời gian đó, mình đã không được chơi Mini World. Khi về nhà, mở máy lên thì thấy một ID mới, vì là newbie nên chưa biết cài mật khẩu cho Acc và mình đã mất nick game đầu tiên. Cũng có một chút tiếc nuối vì map sinh tồn còn chưa cày xong. Gác lại âu lo, mình đã tạo tài khoản mới và tiếp tục chơi cho đến bây giờ.",Phạm Dương
174,Cây Viết Mini World,"KHỞI ĐẦU VỚI ""Mini World : CREATA""
Mình biết đến game Mini World từ rất lâu, từ hồi game mới ra mắt ở Việt Nam. Mình được biết qua những người bạn cùng làng vì họ hay rủ nhau chơi. Vì hồi đó mình chưa có điều kiện để chơi nên không quan tâm cho lắm.
Vào đầu năm lớp 7, qua cuộc trò chuyện của hai người bạn cùng lớp về Mini World, thấy tò mò và được hai bạn đó rủ chơi. Thấy game có giao diện và đồ họa cuốn hút, mình đã cảm thấy hứng thú với trò chơi này.",Phạm Dương
175,Cây Viết Mini World,"Vì một cộng đồng game trong sáng và thân thiện, tớ mong muốn mọi người thông cảm và giúp đỡ những người chơi mới hoặc những người không có điều kiện nạp game.",Kalinh Nguyn
176,Cây Viết Mini World,"Lúc bị chê ăn hiếp trong game, tớ đã rất bức xúc và khó chịu,
việc chê bai người mới hay không có điều kiện có lẽ sẽ khiến
game một phần nào đó đi xuống và mất đi nhiều người chơi.
Tớ biết, không chỉ mình tớ mà có lẽ nhiều người khác cũng đã hoặc đang gặp trường hợp này. Tớ muốn chia sẻ cảm xúc của tớ lúc đó. ",Kalinh Nguyn
177,Cây Viết Mini World,"Nhưng không phải ai cũng thân thiện và dễ mến!
Đúng là MiniWorld là một tựa game dễ thương và thân thiện, nhưng có một vài thành phần người chơi có hành vi không chuẩn mực trong game.
Khi tớ mới chơi, lúc đó tớ còn dùng nhân vật mặc định là Nini.
Có rất một số người đã chê cười hay thậm chí khinh bỉ tớ, chỉ vì
tớ không có đồ đẹp như họ. Đâu phải ai cũng có đồ đẹp? Đâu
phải ai cũng có điều kiện để nạp game đâu? Trong khi tớ còn
mới chơi nữa, và đó là điều không nên làm trong một tựa game
trẻ em như MiniWorld. ",Kalinh Nguyn
178,Cây Viết Mini World,"Khoảng 3 năm trước, lúc đó tớ vừa vào học lớp 2, vì lúc đó tớ sống khép kín và khá ngại giao tiếp nên không có quá nhiều bạn, ngoại trừ một người bạn thân. Một ngày, tớ sang nhà chị họ chơi. Hôm đó, chị chơi MiniWorld trên iPad, tôi đã xin được chơi cùng chị. Chị đã chỉ tớ tải game về. Hai người lúc đó đã chơi với nhau rất vui vẻ. Vì trên game mọi người rất thân thiện và cởi mở nên tớ đã một phần nào đó tự tin trong giao tiếp và dễ gần hơn. Niềm vui khi mới chơi game của tớ có lẽ là niềm vui thuần khiết nhất từ trước đến giờ:3",Kalinh Nguyn
179,Trao Quà Tặng Gửi Yêu Thương,"Có thể nói 20/10 ko thể thiếu những lời nói những món quà , vậy nên hôm nay 20/10 em xin chúc các bà các bác các cô các mẹ các chị luôn vui vẻ ,lạc quan , hạnh phúc luôn xinh đẹp và luôn nở những nụ cười thật tươi",Trần Hữu Trung
180,Trao Quà Tặng Gửi Yêu Thương,"CHÚC MỪNG NGÀY PHỤ NỮ 20/10.
Mừng ngày Phụ nữ Việt Nam
Chúc bà, chúc mẹ, chúc chị ,
mừng em khắp mọi nhà
Hạnh phúc, xinh tươi, may mắn ...
Duyên tình, thắm đượm đẹp như hoa.",Minh Đức
181,Trao Quà Tặng Gửi Yêu Thương,"Có thể nói 20/10 ko thể thiếu những lời nói những món quà , vậy nên hôm nay 20/10 em xin chúc các bà các bác các cô các mẹ các chị luôn vui vẻ ,lạc quan , hạnh phúc luôn xinh đẹp và luôn nở những nụ cười thật tươi",Trần Trung
182,Mật Ngọt Tặng Mẹ,"Cảm ơn mẹ những năm tháng vất vả nuôi con. Mẹ đã ko quản mọi khó khăn để nuôi con , đôi vai gầy của mẹ đã phải nuôi con và anh chị đi học , lo cho chúng con mọi thứ . Còn chúc mẹ luôn luôn khoẻ mạnh .con yêu mẹ",Cao Trường Giang
183,Mật Ngọt Tặng Mẹ,"Đừng dùng lời nói để biểu hiện mà hãy dùng hành động để chứng minh.
Dù vậy vẫn xin nói 1 câu
Con yêu mẹ",Ngô Hùng
184,Mật Ngọt Tặng Mẹ,"những hi sinh, vất vả cùng tình yêu mà mẹ dành cho con. Nhân dịp Ngày của Mẹ 2022, con chỉ cầu mong mẹ của con luôn được bình an, khỏe mạnh. Mẹ phải sống thật lâu để cùng con tận hưởng những điều tuyệt vời mẹ nhé. Con yêu mẹ!",Hung Tran
185,Mật Ngọt Tặng Mẹ,Đừng nói yêu mẹ khi quá muộn. Hãy trao gửi đến mẹ qua những lời chúc Ngày của Mẹ ý nghĩa và tràn ngập yêu thương để tỏ lòng biết ơn sâu sắc!,Lê Đình Hòa
186,Mật Ngọt Tặng Mẹ,"Cảm ơn mẹ vì đã sinh ra con và nuôi con khôn lớn, cảm ơn người phụ nữ xinh đẹp, người mà con luôn luôn tự hào. Con chúc mẹ thật nhiều sức khỏe, thật vui vẻ, hạnh phúc nhé. Happy Mother's Day",Khánh Băng
187,Mật Ngọt Tặng Mẹ,"Ngày của Mẹ là một dịp quan trọng để những người con tri ân, thể hiện tình yêu thương và lòng hiếu thảo dành cho mẹ. Đây cũng là ngày để chúng ta nhìn lại và chiêm nghiệm về dòng chảy của thời gian, để rồi nhận ra khi ta càng lớn, càng trưởng thành thì thời gian được ở bên mẹ càng thu ngắn lại.",Lê Đình Hòa
188,Tháng Tư là ... của Mini World,tháng tư là tháng nướng Cá Heo Mini lên ăn cùng các anh chị của Mini World,Hiếu Nghĩa
189,Tháng Tư là ... của Mini World,"Tháng tư là tháng bốn
Tháng bốn lòng bồn chồn
Ad hỏi sao bồn chồn
Rin trả lời: sợ Ad troll :>",Marco Winter
190,Tháng Tư là ... của Mini World,"tháng này là cá tháng tư
tháng này là tháng để ad troll m
tháng này là tháng mặt dày
ad bấm cho cái m pay acc liền=)của Mini World
sẵn tặng cho ad luôn bài thơ đó luôn=)))",Hiền Dieu
191,Tháng Tư là ... của Mini World,"Hôm nay ngày cá tháng Tư
Bỗng nhiên lại muốn làm sư quét chùa
Ta thề thật chứ chẳng đùa
Xưa nay có biết dối lừa ai đâu",Phuong Nhung
192,Tháng Tư là ... của Mini World,"Tháng tư là tháng thứ tư theo lịch Gregorius, có 30 ngày. Tháng 4 bắt đầu cùng một ngày trong tuần với tháng 7 trong bất kỳ năm nào và cùng ngày trong tuần với tháng 1 trong những năm nhuận. Có thể kể tên 1 số sự kiện trong tháng 4 như: Ngày Cá tháng 4 1/4, Ngày Valentine Đen 14/04, Ngày Trái Đất 22/4,....và đặc biệt không thể không nói đến Ngày Giải phóng miền nam Việt Nam 30/4,....(nguồn:wikipedia) của Mini World",Minh Hiển
193,Tháng Tư là ... của Mini World,"Tháng tư là tháng ăn chơi
Ăn thì ăn ít mà chơi thì nhiều
Chơi nhiều thì lại đói diều
Đói diều thì phải ăn nhiều ăn thêm",Mini Elie
194,Cây Viết Mini World,"Ngôi nhà cũ mình có thế xây lại được, tus cũ mình có thể đăng lại được, chỉ là nó không có được cái cảm giác như lần đầu tiên thôi. Còn người bạn đó á, mình vẫn chưa tìm được bạn ý…. Chỉ mong một ngày nào đó gặp lại được cậu, cùng cậu trải qua bao thăng trầm như ngày xưa ấy thôi. Lần trở lại game ấy, đã khiến cho mình trưởng thành hơn rất nhiều, gặp được những người bạn tốt, giúp mình quên đi nỗi buồn “người bạn kỉ niệm”. Đã tạo cho mình thêm nhiều kỉ niệm mới mà mình sẽ chẳng bao giờ quên….""",Phạm Phương
195,Cây Viết Mini World,"Năm 2020, thế giới phát hiện một loại virut mới và dịch bệnh bắt đầu bùng lên ở Việt Nam. Lúc đó mọi người đều phải nghỉ ở nhà để tránh dịch. Vì ở nhà, cùng với việc có rất nhiều thời gian rảnh rỗi, mình lại tìm đến game. Cái cảm giác quen thuộc, thân quen và những kỉ niệm năm xưa lại ùa về. Mình là một người rất dễ khóc, không phải vì mình yêu đuối hay gì cả, chỉ là mình khá nhạy cảm, nên những thứ nhỏ như thế này cũng khiến mình khóc, kể cả nó chỉ là một kỉ niệm cũ thoáng qua. Mình không nghĩ mình lại bỏ lỡ nhiều thứ đến như thế.",Phạm Phương
196,Cây Viết Mini World,"Năm 2019, vì để tập trung vào việc học, mình đã nghỉ game. Với nhiều bạn thì nghỉ game chỉ là không vào game một thời gian thôi, rồi sau đó quay lại. Nhưng lúc đó mình lại không nghĩ đến việc sẽ quay lại tựa game này…..nên mình đã thẳng tay xóa game. Sau này mình mới nhận ra, đó là quyết định ngu ngốc nhất của mình. Vì mới chỉ là người chơi ít kinh nghiệm, nên mình không nhận thấy được tầm quan trọng của việc tạo mật khẩu và liên kết với gmail…nên mình đã mất tài khoản đó. Ngôi nhà hình hộp đầu tiên, người bạn đầu tiên, và cả cảm xúc đầu tiên nữa, chúng đã trở thành “kỉ niệm”,một thứ mà mình chỉ có thể cất giữ ở đâu đó trong lòng. Mình bỏ game một thời gian khá dài, khoảng tầm 1 năm gì đó.",Phạm Phương
197,Cây Viết Mini World,"Mình chơi Mini World từ năm 2018, lúc đó còn là một người chơi mới, không biết làm một cái gì, có thể nói là……”vô dụng”.
Lúc đó, game vui lắm. Mình cũng có rất nhiều kỉ niệm với con game này. Nào là kỉ niệm lần đầu có thể tự xây cho mình một căn nhà này, lúc đó chỉ biết xây nhà hình hộp thôi, trông buồn cười lắm, không có như bây giờ đâu. Rồi thì kết bạn với người bạn đầu tiên này. Lần đầu đăng cảm xúc trên game…… và rất rất nhiều những kỉ niệm khác nữa. ",Phạm Phương
198,Kỷ Niệm Cùng Mini World,"Khi nói đến về những con map thì mình lại nhớ những người bạn đầu tiên cùng nhau chơi. Bởi lúc đầu khi chơi thì các bạn ấy giúp mình có thêm những kiến thức về cách chơi của con game này. Nhiều khi nhớ lại cái cảm giác được nhắn tin với các bạn ấy , cùng nhau đánh hội đồng một số bạn , cùng nhau chơi sinh tồn , cùng nhau giành giựt các ổ bánh mì. Khi nhớ lại thì chúng chỉ còn là những kỉ niệm , những kỉ niệm khó phai mờ , những kỉ niệm mà làm ta nhớ mãi ,... Bây giờ các bạn ấy nhiều khi mình lên chơi thì các bạn ấy không onl , nhiều khi thấy các bạn ấy onl nhưng lại không thể cùng chơi với nhau được như xưa nữa . Những con map gắn liền với một thời , những người bạn , và những .... Có thể nó sẽ dần bị phai một nhưng mình sẽ cố gắng giữ nó trong lòng.",Trần Ánh Mai
199,Kỷ Niệm Cùng Mini World,"Lúc đầu chơi mình toàn nhảy xuống lava bơi rồi chết nên con em nó cứ nói chị cứ nhảy xuống lava hoài rồi chừng nào mới win. Khi ấy, mình cảm thấy ơ trò này chả có j vui để chơi. Thế là mình tạo những con map sáng tạo để chơi , lần đầu vào map thì mình chả biết gì về xây nhà nên lúc đấy mình chỉ xây một căn nhà khá nhỏ mà thêm một điều vô lí mà mình xây nữa , đó là căn nhà cao khoảng mười mấy block mà chỉ có 1 chân . Trong cái con map đấy chứa biết bao là kỉ niệm về những ngày đầu chơi nhưng buồn thay là trong một lần mình đã bấm lộn và xóa mất con map ấy vĩnh viễn . Lúc ấy , mình ngơ ngác nhìn lại và mắt mình bắt đầu ửng đỏ và muốn khóc . Cái cảm giác ấy mà nó cứ làm mình tự trách đến mãi đến bây giờ . Nhiều khi mình tự hỏi tại sao mày lại xóa cái con map ấy , nó chứa biết bao kỉ niệm khi chơi game đấy .",Trần Ánh Mai
200,Kỷ Niệm Cùng Mini World,"Lần đầu tiên khi mình biết đến con game này là do con em họ mình giới thiệu vào dịp Tết ( tức là 1/1/2018 âm lịch ). Lần đầu tiên khi chơi , cảm xúc của mình bỡ ngỡ do chưa hiểu rõ về lối chơi, cách chơi của con game này. Thế nên lúc đó khi được nghe con em họ bảo chị chơi pakour không thì mình cứ nghĩ ""ủa game này cũng có bắt cua nữa hả "".",Trần Ánh Mai
201,Kỉ Niệm Khó Quên 20-11,Được cô giáo dạy ngữ văn cho đến nhà cô học và cũng là đề giúp cô sử lý sự cố máy tính khi học on line và cô luôn nhắn nhủ là em đừng bao giờ quên nghề tay trái của mình nhé .,GBảo Mini
202,Kỉ Niệm Khó Quên 20-11,Lần đầu tiên được làm các mô hình thí nghiện vật lý và được mang các sản phẩm mìn làm đó đến lớp và biểu diễn trước lớp ( tia lửa điện và hồ quang điện ) năm lớp 10,GBảo Mini
203,Kỉ Niệm Khó Quên 20-11,Được thầy giáo đèo đi và cùng thầy đi mua các vật dụng trang trí giáng sinh và nhờ giáng sinh đó mà trường ai cũng biết mình biết sửa chữa đồ điện .năm lớp 7,GBảo Mini
204,Kỉ Niệm Khó Quên 20-11,Được cô coi như con và cô tận tình động viên khi trong quãng thời gian khó khăn nhất đó là năm lớp 9 khi ông ngoại mất mà bố cũng đi công tác xa mẹ thì cũng bận công việc không có thời gian rảnh nhiều để trò chuyện,GBảo Mini
205,Kỉ Niệm Khó Quên 20-11,Kỉ niệm khó quên của mình là tặng hoa cho cô không lâu sau thấy cô bỏ vô thùng rác:/,Arien Astaire
206,Kỉ Niệm Khó Quên 20-11,"Nhớ ngày thứ 7 năm ngoái tổ chức sinh nhật cho thầy chủ nhiệm 🎂, lớp tui hôm đó có tiết đôi 3&4 cách nhau giờ ra chơi, lớp cố tình cúp gần phân nửa để chuẩn bị sinh nhật cho thầy, thầy giận quá trời luôn, tụi tui ở lại học cũng rén lắm chứ bộ 😖, tranh thủ lúc ra chơi tụi tui dọn nhanh nhanh, treo dây kim tuyến pháo hoa, vẽ vời các kiểu, còn che luôn camera cho thầy không biết luôn đoá 🤣, mà đâu có dễ thế, cái quan trọng nhất của tiệc sinh nhật là gì...CÁI BÁNH KEM. Trời ơi tới hồi tụi nó đi lấy bánh về, thôi xác định rồi, chạy nhanh quá xốc hư luôn phần trang trí, lén chạy ra khỏi trường mua đã cực giờ lẻn vô đưa còn khó dữ nữa. Đại gia của lớp a.k.a lớp trưởng xinh đẹp dễ huông của lớp đã bao luôn cái bánh mới, ship tới cũng gần hết giờ ra chơi ⏲️⌛. Trống đánh là kéo rèm kín hết, tối như đêm luôn mn ⚫, kêu đứa bàn đầu gần cửa canh, ra hiệu cái vô vị trí liền. ""Bằng bằng"" tiếc pháo hoa vang lên cùng với lời chúc mừng của tụi tui cất lên bên cạnh đó là bài hát happy birthday. Thầy sốc mà vui lắm kìa, mặt thầy hết quạu luôn, mn không biết đâu, xong cả lớp ngồi quanh dãy bàn đã kéo lại trung tâm lớp cùng thầy đón sinh nhật.",Tài Tài
207,HỎI ĐÁP CÙNG MINI-ERS,Đâu là loài động vật hiếm thấy nhất trong chế độ sinh tồn Mini World ?,Bong Bóng
208,Lớp học vui,"Đầu giờ toán, thầy giáo ra câu đố: “Thầy hỏi các em, ăn cắp nhạc thì gọi là gì?”.
– Thưa thầy là đạo nhạc ạ!
– Thế ăn cắp ý tưởng là gì? 
 – Là đạo ý tưởng ạ!
– Ăn cắp thơ gọi là gì?
– Là đạo thơ ạ!
– Vậy còn ăn cắp răng?
Cả lớp ngơ ngác nhìn nhau…
– Các em mở sách, hôm nay chúng ta sẽ học…”đạo hàm”.",Gấu Baby.......๓
209,Truyện cười con rùa và đại bàng,Có 1 con rùa sống trong 1 khu rừng và nơi đó đang bị hạn hán. Chú rùa này muốn sang khu rừng bên cạnh để sống. Nó liền nhờ 1 con đại bàng mang sang. Con rùa cắn vào 1 khúc gỗ để đại bàng quắc khúc gỗ đó. Đang đi đc nửa đường con đại bàng liền nói : – ” hôm trước tôi cũng mang 1 chú rùa sang vùng rừng bên kia bằng cách này. Nhưng bị rơi vì nghe tôi kể chuyện cười mà lại cười.”. – Con Rùa liền phá lên cười : ” ha ha ha ! sao lai có thằng ngu như thế nhỉ ”  -Đại bàng nói: mình lại phải mang khúc gỗ nữa à.,*Мie
210,Truyện cười hai đứa bạn,"Hai người bạn đi dạo với nhau. Một anh bảo: – Tối qua, tôi đến nhà hát xem kịch. Nhưng chỉ xem đến màn một rồi ra khỏi rạp. – Tại sao? – Tại vì, trên chương trình có nói: “Màn hai… 3 năm sau”. Anh xem thời gian dài như thế, tôi đợi làm sao được",Bi_yangyang
211,Cùng chơi Mini World,"Sau cơn mưa trời lại sáng, bình an rồi sẽ đến cùng với cầu vồng, hãy cùng chờ đợi những thử thách trong Mini World đang chờ đón bạn nhé!",y€ol
212,Ngày mới vui nha!,"Vầng dương ló rạng, chiếu sáng khắp nơi trên thế giới tí hon này và đang chào đón bạn đến với buổi sáng rực rỡ ánh nắng đấy. Chúc bạn sẽ có một ngày mới tốt lành, may mắn và vui vẻ!",pypy
213,Tỉnh táo nào!,"Mặt trăng đi ngủ rồi, bạn không tính ngủ luôn cùng trăng đấy chứ? Dậy đánh răng, rửa mặt hoàn thành công việc và cùng chơi Mini World nào",-_S้ø{=>
214,Lời chúc từ Mini World,"Mini-er kính yêu, cảm ơn các bạn đã đã luôn đồng hành cùng với Mini World. Mini World xin chúc bạn luôn thành công trong công việc nhé!",XBo
215,Chúc mừng năm mới!,"Hoa đào nở, chim én về, mùa xuân lại đến. Chúc nghìn sự như ý, vạn sự như mơ, triệu sự bất ngờ, tỷ lần hạnh phúc!",Cua
216,Lời may mắn,"Chúc bạn 12 tháng phú quý, 365 ngày phát tài, 8.760 giờ sung túc, 525.600 phút thành công và 31.536.000 giây mã đáo.",Mymy Trần
217,Happy New Year!,Chúc mừng năm mới!. Chúc bạn luôn hạnh phúc và mãi đồng hành cùng Mini World nhé,يMinh
218,Cùng chơi game!,"Muốn cười đùa, bay nhảy thì hãy vào Mini World",Em_Là_Ai
219,Cùng tận hưởng và trân trọng kỷ niệm game!,"Thời gian trôi qua không bao giờ lấy lại được, cầu mong cho bạn có thật nhiều sức khỏe để chinh phục và khám phá Mini World",@Ramie~~
220,Con nít và người lớn,"Trẻ con chưa chắc đều ấu trĩ, ngây thơ. Người lớn chưa chắc đều hiểu chuyện biết điều.",ツSugar
221,Hãy lắng nghe,"Người mà trong tim có bạn, nhất định sẽ luôn chủ động tìm bạn; người mà trong tim không có bạn, nhất định sẽ luôn tự động bỏ qua bạn. Thực ra, im lặng chính là câu trả lời, né tránh chính là câu trả lời, không còn chủ động cũng chính là câu trả lời.",Mrs Zen
222,Lời người nổi tiếng,"Hôm nay đầy rẫy những khó khăn, và ngày mai cũng không có điều gì dễ dàng. Nhưng ngày kia, mọi thứ sẽ trở nên tốt đẹp.
Jack Ma",Boa
223,Hãy lắng nghe những người thành đạt,"Di chuyển nhanh và phá vỡ các quy tắc. Nếu vẫn chưa phá vỡ cái gì, chứng tỏ bạn di chuyển chưa đủ nhanh.
Mark Zuckerberg",Phiến
224,Lời trích trong truyện,"Hứa hẹn chính là lời một tên lừa đảo thường nói với một kẻ ngu ngốc.
Mục Tiêu Đã Định – Tâm Thường",Meap
225,Vì sao ...,Sữa mẹ em còn có thể cai thế anh nghĩ anh là ai mà em không thể bỏ?,TChanel
226,Tình nghĩa bạn bè,Anh em 4 bể là nhà người dưng khác họ vẫn là anh em,GK·Kaka
227,Tui thích truyện này lắm nè!,"Sẽ luôn có một người phải nhận thua cuộc, sẽ luôn có một người yêu người còn lại nhiều hơn một chút mới có thể đọ sức được với nhau.
Tình yêu là một cuộc đọ sức vô hình. Mà những người như chúng ta chỉ nhìn thấy được những sự ấm áp và ngọt ngào.
Cô đơn vào đời – Dịch Phấn Hàn",_Fairyy__
228,Nhịn - No!,Một điều nhịn là chín điều nhục.,King
229,Ha ha! ^^^,"Trái tim em chỉ 2 lần mở cửa:
Đón anh vào rồi tống cổ anh ra.",TễuTíTởn
230,hÀI!,Thuốc đắng giã tật nhạc giật thì lên luôn.,lke
231,Ngày buồn trách trời mưa nắng,"Hà Nội thì mưa Sài Gòn lại nắng, ngta may mắn còn tôi thì không",Sanati
232,Xấu phải giữ kết cấu,Ai chê mày xấu mày phải nhớ sau này gặp lại mặt phải vênh,当「MYLOVE
233,Nhà thơ Hà Nội,"Hà Nội thành phố mộng mơ, nhà thơ thì ít ngáo ngơ thì nhiều",Mun
234,Thế giới trẻ thơ,"Đột nhiên rất muốn quay lại về làm một đứa trẻ, bởi vì so với trái tim đầy thương tích, thì đầu gối trầy xước dễ chữa lành hơn rất nhiều lần.",TMRIN
235,Hãy trân trọng hạnh phúc,Bạn luôn theo đuổi thứ bạn thích mà quên mất thứ phù hợp nhất đang ở bên cạnh mình.,BOZO
236,Nếu có người ấy thật,"Trong cuộc đời này em cứ muốn tìm một người dịu dàng, đối xử với em thật đặc biệt và sẽ nghe em nói những khi em đột nhiên thấy buồn.",ツThumin®
237,Câu nói người nổi tiếng,"Hãy thiết lập mục tiêu và đảm bảo mọi thứ đều tập trung vào mục tiêu đó
Warren Buffett",Cua'ss
238,Lời người nổi tiếng,"Đừng cố gắng tỏa sáng. Hãy là chính mình và làm những gì mình thích.
Warren Buffett",Sandy1999
239,Trích dẫn tiểu thuyết hay,"Vì em cứ trốn tránh anh.
Anh muốn đuổi theo, em vẫn chạy.
Như vậy không được, anh vất vả lắm mới tìm được em, không thể trơ mắt nhìn em chạy loạn.
Như Hoa, kỳ thật không như hoa – Tử Ngư Nhi",moz_o
240,Hãy can đảm đối diện nỗi buồn,"Khi mà bạn có thể kể lại câu chuyện của mình và nó chẳng còn khiến bạn rơi nước mắt nữa, thì khi đó bạn biết rằng bạn đã được chữa lành.",Jun'nie
241,Lời đạo diễn hay,"Người ta không quan tâm ai đó nói gì về bạn trong bộ phim, kể cả không quan tâm bạn nói gì. Họ quan tâm những gì bạn đã làm được.
Mark Zuckerberg",Tom_Sunny
242,Tiểu thuyết hay cho bạn,"Trên đời này có hai thứ không thể nắm giữ, một là chuyện cũ, một là mưa hoa bay.
Cho anh nhìn về phía em – Tân Di Ổ",ny
243,Bạn bè luôn là tự do và lựa chọn,"Dù là bạn bè, công việc, tình cảm hay bất kể thứ gì, hễ không thể làm mình hạnh phúc thì nên để nó ra đi. Chúng ta vẫn tưởng thời gian còn dài, nhưng đến khi ngoảnh lại đã thấy phung phí hết cả một thời cho những thứ không đâu.",Been
244,Nhận lỗi và xin lỗi,Em sai rồi. Anh xin lỗi em đi,Bím
245,Chân lý tình iu,"Để yêu một người đã khó, để đá nó càng khó hơn.",Huê 1502
246,Bờ và biển,Quay đầu là bờ ai ngờ là biển,#D@vid
247,Phải bìn tĩn nhoa!,Một phút bốc đồng vạn năm bốc cức,@Tin←K
248,Khuyên bạn!,"Ai bỏ mặc mày mày phải nhớ, sau này gặp nạn nhớ phải bơ",belle
249,Ừa ừa.,"Hà Nội này long tranh hổ đấu, dặn lòng mình k đầu gấu đc đâu",~toMY็Myot~
250,Luôn luôn lắng nghe,Khi bạn buồn hãy tâm sự với tôi…tôi không hứa sẽ làm bạn cười…nhưng tôi hứa sẽ cười vào mặt bạn…,©shinichic
251,Thề thốt ^0-,"Tuy không sinh cùng năm cùng tháng cùng ngày, nhưng nguyện sống cùng ngày cùng tháng cùng năm.",Jerry Trang
252,Toàn diện là seo?,"Một người phụ nữ toàn diện: sáng diện, trưa diện, chiều diện, tối diện.",βі
253,Hô hô hô!,Yêu nhau trong sáng…mà phang nhau thì trong tối!,Fairyy
254,Anh vẫn là anh!,"Tiền thì anh không thiếu, nhưng nhiều thì anh không có…",Chị
255,Thầy trò và môn hóa,"Thầy cô là đường tinh, học sinh là đường đã lọc",Sang
256,Phải trân trọng bạn bè nha,Không bao giờ bán đứng bạn bè… khi chưa được giá.,melodi456
