皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移
322,波菲尔,140294,,457,3,140294_2,1,140294_3,140294_1,,,,,,,,,-1,2,,999,"点石成金不难，善恶起落悠长，白纸自成黑字，术道不改德志。如果可爱不能使你感动，那我就施以魔法。变！
这是张好牌，不该给个坏蛋。",2,,,,,999,skin322,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着卡牌！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,沧海帝姬 灵汐,140321,,458,3,140321_2,1,140321_3,140321_1,,,,,,,,,-1,2,,999,"暗觉冬日暖，抬首燕来湖。
戏掷彩贝去，遍听新荷声。",2,,,,,999,skin323,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,9,transfiguration,#cda5b0a变身：在水中可变成人鱼形态，点击左侧按钮预览！#n,,genius,天赋：可以激发特殊血脉，在水下自由呼吸！,,,,,skill,#cda5b0a仅限星辉礼盒产出#n,,,,dtxx_beijingtu109,,0,,,,,,180,,,,,,27205,,,2_324,,,,,,,,,,,,,,,,,,,,,,2_324,140322_4,5,,,,,
324,泣珠仙姬 灵汐,140322,,459,3,140322_2,1,140322_3,140322_1,,,,,,,,,-1,2,,999,"夜饮溶溶月，绡坠荧荧珠。
神怜粉黛怯，泪化锦泽露。",2,,,,,999,skin324,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,9,transfiguration,#cda5b0a变身：在陆地可变成自然形态，点击左侧按钮预览！#n,,genius,天赋：可以激发特殊血脉，在水下自由呼吸！,,,,,skill,#cda5b0a仅限星辉礼盒产出#n,,,,dtxx_beijingtu110,,0,,,,,,180,,,,,,27206,,,2_323,,,1,,,,,,,,,,,,,,,,,,,1_323,140322_4,5,2004001,,,,
325,海茵,140323,,460,3,140323_2,1,140323_3,140323_1,,,,,,,,,-1,2,,999,"风中舞动如丝绸，
海底深藏如玉珂。
散发轻盈随海风，
行踪无迹任浪荡。",2,,,,,999,skin325,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着泡泡！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,dtxx_beijingtu111,,0,,,,,,180,,,,,,27207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,哈尔薇,140330,,461,3,140330_2,1,140330_3,140330_1,,,,,,,,,-1,2,,999,"行走于生死边界，魂游于亡灵千列。
勇敢之翅，绚烂绽放，邪恶念起，呼啸奔去。
破碎之伤，需要信任的医治。
这彻骨的失望，早已潜入肺腑，低沉呻吟。",2,,,,,999,skin326,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着黑色羽毛！,,,,,,,,,,,,,dtxx_beijingtu113,,0,,,,,,180,,,,,,27208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,格兰妮,140325,,462,3,140325_2,1,140325_3,140325_1,,,,,,,,,-1,2,,999,"擦肩黑玫瑰，开启潘多拉，灵魂纹蝙蝠之骨，笑颜在骷髅上燃烧。
诞于暮，藏于晨——黑暗，才是我的本命。
樱红与凄美粉饰，骷髅及朋克并存。",2,,,,,999,skin327,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着蝙蝠和粉色爱心！,11,customize,定制：获得后可在【定制】自由搭配背饰、面饰、手饰等部件！,,,,,,,,,,dtxx_beijingtu112,,0,,,,icon_62,1.5,180,,,,,,27209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_1980,,,
328,Big Mar,140336,,463,3,140336_2,1,140336_3,140336_1,,,,,,,,,-1,2,,999,"命运循环，齿轮转动从来不由己，他却偏要嘲弄这可笑的未来。
节拍为刀刃，歌词为子弹，从不动手斗殴的“暴徒”要用音乐让麻木的城市惊醒。
也许梦总会醒来，但现在还不是时候",2,,,,,999,skin328,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下星光足迹。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,玛琳,140337,,464,3,140337_2,1,140337_3,140337_1,,,,,,,,,-1,2,,999,"绚烂的聚光灯下只允许颂唱千篇一律的赞歌，街头巷尾流浪，她嘶鸣的电吉他怒吼着生命真正的痛苦和美丽。
不被承认又如何？反叛而自由的灵魂一定会被玛琳的歌声吸引而来，打破枷锁重重。",2,,,,,999,skin329,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下星光足迹。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,床单超人 小米,140343,,465,3,140343_2,1,140343_3,140343_1,,,,,,,,,-1,2,,999,穿上最爱的超级英雄制服，床单暂时充当帅气披风，惩恶扬善的床单超人小米即刻出动！,2,,,,,999,skin330,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着金色光点！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,安琪儿,140350,,466,3,140350_2,1,140350_3,140350_1,,,,,,,,,-1,2,,999,"身上变异的羽翼让安琪儿不敢靠近人类群落，清醒的神志又让她无法与丧失理智的变异怪物为伍。
在野外奄奄一息之时，一名身体高度机械化的士兵将她救回人类最后的领地。被视为人类最后希望的她，也在士兵坚定的守护中找到了真正的自我。",2,,,,,999,skin331,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着白色羽毛！,,,,2,acticon,#cda5b0a互动：可与伊萨亚触发互动动作！#n,,,,,,,dtxx_beijingtu_hw4,,0,,,,,,180,,,,,,27213,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,伊萨亚,140351,,467,3,140351_2,1,140351_3,140351_1,,,,,,,,,-1,2,,999,"常年与变异怪物进行战斗，同样的病毒侵蚀着伊萨亚的身体，甚至心灵………
某次行动中，伊萨亚偶遇一名奇怪的异化少女，她的到来不仅给人类带来了新的希望，也在悄悄治愈伊萨亚千疮百孔的内心。",2,,,,,999,skin332,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着能量方块！,,,,2,acticon,#cda5b0a互动：可与安琪儿触发互动动作！#n,,,,,,,dtxx_beijingtu_hw4,,0,,,,,,180,,,,,,27214,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,路障,140324,,468,3,140324_2,1,140324_3,140324_1,,,,,,,,,-1,2,,999,路障是霸天警阵营的战士，他能一眼看穿人类，利用人们的信任来耍弄他们。他还喜欢用威力巨大的武器和液压手把对手撕成碎片。,2,,,,,999,skin333,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着闪电！,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,,,,,,,,,dtxx_beijingtu04,,0,,1,4652,icon_53,,180,,,,,,27215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,可西光辉女孩,140331,,469,3,140331_2,1,140331_3,140331_1,,,,,,,,,-1,2,,999,可西光辉拥有可爱的外表，棋子车是她的可爱标志。野心勃勃的她，把友谊当做权力去操纵，最终被打败还变成了石像。,2,,,,,999,skin334,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着火焰！,,,,,,,,,,,,,dtxx_beijingtu12,,0,,,,icon_54,,180,,,,,,27216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,苹果丽丽女孩,140332,,470,3,140332_2,1,140332_3,140332_1,,,,,,,,,-1,2,,999,苹果丽丽是苹果嘉儿的妹妹，也是可爱军团的创始成员之一，平时除了在甜苹果园帮忙收苹果以外，还会和甜心宝宝、醒目露露一起为可爱标志努力。,2,,,,,999,skin335,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵！,,,,,,,,,,,,,dtxx_beijingtu11,,0,,,,icon_54,,180,,,,,,27217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,风雪之心女孩,140333,,471,3,140333_2,1,140333_3,140333_1,,,,,,,,,-1,2,,999,风雪之心是闪耀盔甲和音韵公主的女儿，这个名字是为了纪念她用哭声震碎水晶爱心那次的水晶典礼。在那之后，她的魔力得到了稳定，再也没有发生这种情况了。,2,,,,,999,skin336,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色光点！,,,,,,,,,,,,,dtxx_beijingtu15,,0,,,,icon_54,,180,,,,,,27218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,赤绫太子 莲笙,140328,,472,3,140328_2,1,140328_3,140328_1,,,,,,,,,-1,2,,999,"在这混沌世界
受伤的孩子们别害怕
谁要再来害人
翻江倒海，定不饶他！",2,,,,,999,skin337,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,3,changeskin,#cda5b0a变色：神通：可切换幼年形态，点击左侧按钮预览。#n,,,,,,,,,,,,,dtxx_beijingtu114,,0,,,,,,180,,,,,,27219,,,2_338,,338,,8,ent.337.show,45,4,,,,,,,,,,,,,,,,,,,,,,
338,灵泽童子 莲笙,140329,,473,3,140329_2,1,140329_3,140329_1,,,,,,,,,-1,2,,999,"众生看我
懵懂无忧
身后那莲花盛开
秋风起浪搅起几多风云。",2,,,,,999,skin338,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,3,changeskin,#cda5b0a可切换成年形态，点击左侧按钮预览。#n,,,,,,,,,,,,,dtxx_beijingtu115,,0,,,,,,180,,,,,,27220,,,2_337,,337,1,8,ent.338.show,45,4,,,,,,,,,,,,,,,,,,,,,,
339,韶华,140341,,474,3,140341_2,1,140341_3,140341_1,,,,,,,,,-1,2,,999,"艾束轻曳浴芳兰，重午佳阳花忽繁。
跃浪龙舟端午游，五丝缠粽碧玉透。
执扇浣溪散清暑，沛降赤阳忆古原。",2,,,,,999,skin339,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着绿叶！,,,,,,,,,,,,,dtxx_beijingtu116,,0,,,,,,180,,,,,,27221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,朵瑞丝,140326,,475,3,140326_2,1,140326_3,140326_1,,,,,,,,,-1,2,,999,"叮咚，手握着远方的消息。
嗒嗒，穿行在近处的街巷。
嘻嘻，收件人的一个微笑，是送信人最大的满足！",2,,,,,999,skin340,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着信件！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,多尔,140327,,476,3,140327_2,1,140327_3,140327_1,,,,,,,,,-1,2,,999,"悲欢离合的奏乐，飘入千家万户。
敲门声起，消息准时到达。
送信人的职责，是守护好每一封信件。",2,,,,,999,skin341,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着信件！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,蓝伯特,140335,,477,3,140335_2,1,140335_3,140335_1,,,,,,,,,-1,2,,999,"占星之术，以星辰为姓，以意志为名。
命运之轮交错，星盘预言轮回。
关于未来的传说，从未消逝。而我，在寻找这遗失之物。",2,,,,,999,skin342,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,,,,,,,,,,,,dtxx_beijingtu117,,0,,,,,,180,,,,,,27224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,马丁尼,140342,,478,3,140342_2,1,140342_3,140342_1,,,,,,,,,-1,3,525060,500,马丁尼最初做赏金猎人时，他的初衷就是保护那些无法自卫的人们。在对抗一只基因改造的恐龙时，他的关节受了很严重的伤，而他随身携带的恐龙头骨让最黑恶的罪犯都会闻风丧胆。,2,解锁道具可由活动获得,,,,999,skin343,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着光点！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,擎天圣,140338,,479,3,140338_2,1,140338_3,140338_1,,,,,,,,,-1,2,,999,擎天圣是巨无霸小队的指挥官，在史前地球与霸王龙威震天领导的原始兽小队展开激战，并成功逮捕霸王龙威震天返回塞伯坦星球。他具备同情心、忠诚和荣誉感，每次战斗都身先士卒。,2,,,,,999,skin344,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身后喷射着火焰！,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换机器人/载具形态！#n,,,,,,,,,,dtxx_beijingtu126,,0,,1,4658,icon_63,,180,,,,,,27226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,夏日晴歌 梦然,140345,,480,3,140345_2,1,140345_3,140345_1,,,,,,,,,-1,2,,999,夏日的风穿过衣角发梢，与所有的美好不期而遇。,2,,,,,999,skin345,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵！,,,,,,,,,,,,,dtxx_beijingtu119,,0,,,,,,180,,,,,,27227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,星舞跃动 贝琳达,140346,,481,3,140346_2,1,140346_3,140346_1,,,,,,,,,-1,2,,999,踩着滑板，跟上音乐，和我一起在地面开始飞行！,2,,,,,999,skin346,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着音符！,,,,,,,,,,,,,dtxx_beijingtu118,,0,,,,,,180,,,,,,27228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,慵懒暖阳 帕妮,140344,,482,3,140344_2,1,140344_3,140344_1,,,,,,,,,-1,2,,999,好困好困，想躺回被窝中。在我心里，被窝就是世界上最最舒服的地方。,2,,,,,999,skin347,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着瞌睡泡！,,,,,,,,,,,,,dtxx_beijingtu120,,0,,,,,,180,,,,,,27229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,铃梦奇缘 洛娜,140347,,483,3,140347_2,1,140347_3,140347_1,,,,,,,,,-1,2,,999,喜欢我头上的蝴蝶结？不行不行，这个可不能送人！,2,,,,,999,skin348,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花瓣！,,footprint,行走足迹：走过的地方会留下花朵脚印。,,,,,,,,,,dtxx_beijingtu121,,0,,,,,,180,,,,,,27230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,蓝屿樱茶 拟梦,140348,,484,3,140348_2,1,140348_3,140348_1,,,,,,,,,-1,2,,999,花瓣纷飞甜香浮动，真想让时间静止在这一刻。,2,,,,,999,skin349,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵！,,footprint,行走足迹：走过的地方会留下糖果脚印。,,,,,,,,,,dtxx_beijingtu122,,0,,,,,,180,,,,,,27231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,伽蓝,140358,,485,3,140358_2,1,140358_3,140358_1,,,,,,,,,-1,2,,999,"昔日洞窟之中，一次穿越改命运。
误入王子之身，历遍苦痛与困顿。
历史禁区尘烟里，花间草色安闲中。
忽来即离几许时，返望过往奇妙梦。",2,,,,,999,skin350,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着音符！,11,customize,定制：获得后可在【定制】自由搭配背饰、面饰、单手手饰部件！,,,,,,,,,,dtxx_beijingtu124,,0,,,,icon_62,,180,,,,,,27232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_2049,,"3,5,8",
351,甜恬,140334,,486,3,140334_2,1,140334_3,140334_1,,,,,,,,,-1,2,,999,"三伏入夏无凉意，
绿皮红瓢甜砂沁。
果香浮来解暑气，
入齿冰凉肌体莹。",2,,,,,999,skin351,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着西瓜！,,,,,,,,,,,,,dtxx_beijingtu123,,0,,,,,,180,,,,,,27233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,艾登,140352,,487,3,140352_2,1,140352_3,140352_1,,,,,,,,,-1,2,,999,"一个优秀的指挥官，可以命令士兵的行动，不可命令士兵的忠诚。
无惧生死，只争输赢。
反杀或追击，胜负在转瞬之间。",2,解锁道具可由活动获得,,,,999,skin352,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着光点！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,泰诺斯,140356,,488,3,140356_2,1,140356_3,140356_1,,,,,,,,,-1,2,,999,食肉类的霸王龙混血后代，外表威严，内心孤独。当有同伴读懂他的心声时，也会展现非常温柔的一面哦~,2,,,,,999,skin353,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着烤肉的芳香！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,翠丝诺,140355,,489,3,140355_2,1,140355_3,140355_1,,,,,,,,,-1,2,,999,食草类的恐龙混血女孩，个性单纯柔弱，不喜争端，在同伴泰诺斯的鼓励下开始勇敢地争取自己想要的东西。,2,,,,,999,skin354,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着绿叶！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,玄尉昼羽 炎瑞,140353,,490,3,140353_2,1,140353_3,140353_1,,,,,,,,,-1,2,,999,"阴风拂林咒语启，
沉睡封印终将醒。
听，玄尉夜啸。
洗尽苍生炎夏苦。",2,,,,,999,skin355,180,60,60,220,120,120,3,transfiguration,#cda5b0a变身：游戏内可实现变身功能，点击左侧按钮预览！#n,,bodyeffcet,身体特效：身上飘散着枫叶，走过的地方留下面具脚印！,,genius,天赋：可以唤醒被封印的灵力，抵御冰伤害！,,headicon,头像框：获得后自动解锁动态头像框。,,,,,,,dtxx_beijingtu125,,0,,,,,1.5,180,,,,,,27237,,,1_356,,356,1,,,,,,,,,,,,,,,,,,,,,,2009001,,,,
356,枫狐赤夜 炎瑞,140354,,491,3,140354_2,1,140354_3,140354_1,,,,,,,,,-1,2,,999,"万里封侯饮冰露。
哀鸿一片，
冬野寒骨。
无非一念救苍生！",2,,,,,999,skin356,180,60,60,220,120,120,3,transfiguration,#cda5b0a变身：游戏内可实现变身功能，点击左侧按钮预览！#n,,bodyeffcet,身体特效：身上飘散着枫叶，走过的地方留下面具脚印！,,genius,天赋：可以唤醒被封印的灵力，抵御冰伤害！,,headicon,头像框：获得后自动解锁动态头像框。,,,,,,,dtxx_beijingtu125,,0,,,,,1.5,180,,,,,,27238,,,1_355,,355,,,,,,,,,,,,,,,,,,,,,,,2009001,,,,
357,辛西娅,140359,,492,3,140359_2,1,140359_3,140359_1,,,,,,,,,-1,2,,999,使用月光魔法的星月指挥使，是新任的皇家典礼法师，当挥动手中镶着星月的权杖，她所吟诵的星月音符会环绕在礼裙的侧边。她来自域外之城，终日与星月为伴，云朵般的蓬松头发，是她甜美的象征。,2,,,,,999,skin357,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,headicon,头像框：获得后自动解锁动态头像框。,,,,,,,,,,dtxx_beijingtu127,,0,,,,,,180,,,,,,27239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,斯科尔,140360,,493,3,140360_2,1,140360_3,140360_1,,,,,,,,,-1,2,,999,斯科尔一 直梦想前往宇宙探险。今天他终于实现了自己的梦想，他捡到了一艘飞船，他靠着高超的技术修好了飞船，接着，他立马驾驶着飞船飞向宇宙，冲破天际的一瞬间，他看到了星星，感受到美丽的光芒，这一切都使他兴奋不已。,2,,,,,999,skin358,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星星！,,,,,,,,,,,,,dtxx_beijingtu128,,0,,,,,,180,,,,,,27240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,斯嘉丽,140349,,494,3,140349_2,1,140349_3,140349_1,,,,,,,,,-1,2,,999,酷帅的阳光女孩，有着一头张扬热烈的章鱼形红发，在阳光下散发着令人目眩的光芒。她热爱探索这世上的每一种运动，尤其是滑板运动。她可以熟练丝滑地脚踩滑板，游走在不同的障碍物之间。她，就是整个街区最酷炫的滑板女孩。,2,,,,,999,skin359,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着章鱼！,,,,,,,,,,,,,dtxx_beijingtu129,,0,,,,,,180,,,,,,27241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,夏日 菲奥娜,140357,,495,3,140357_2,1,140357_3,140357_1,,,,,,,,,-1,2,,999,"在海边成长的菲欧娜阳光且自由，喜欢玩水枪，甜美的外表下却是一颗狂热的内心
我.....终于终于可以 尽情的玩耍啦！
你.....也要和我一起玩吗?",2,,,,,999,skin360,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着气泡！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,邦妮,140361,,496,3,140361_2,1,140361_3,140361_1,,,,,,,,,-1,2,,999,美丽的外表下面，隐藏着危险，千万不要被迷惑哦。,2,,,,,999,skin361,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：周身环绕着艳丽的光线！,,,,,,,,,,,,,dtxx_beijingtu_hw5,,0,,,,,,180,,,,,,27243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,红魔 雅米,140370,,497,3,140370_2,1,140370_3,140370_1,,,,,,,,,-1,2,,999,元气满满的小红魔，非常喜欢体育运动，和表亲冰魔姐姐一起组建了雪地棒球社，也尝试参与滑雪和冰球。不怕冷的体质让她成为最活跃的社团爱好者，只是一激动就容易喷出火焰。,2,,,,,999,skin362,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：周身环绕着纯白的雪花！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,冰雪精灵,140374,,498,3,140374_2,1,140374_3,140374_1,,,,,,,,,-1,2,,999,生活在冰雪森林深处的精灵，性格胆小，被雪白的绒毛包裹着，很少有人能见过她们的真面目。,2,,,,,999,skin363,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,3,changeskin,#cda5b0a变装：可切换冬日精灵形态，点击左侧按钮预览。#n,,genius,特性：冰雪精灵不受任何冰冻影响！,,bodyeffcet,特殊材质：服饰上点缀着炫彩冰晶！,,headicon,头像框：获得后自动解锁头像框。,,,,dtxx_beijingtu136,,0,,,,,,180,,,,,,27245,,,2_364,,364,1,,,,,,,,,,,,,,,,,,,,,,1061001,,,,
364,冬日精灵,140375,,499,3,140375_2,1,140375_3,140375_1,,,,,,,,,-1,2,,999,受到祝福的小冰晶蜕变成了一只可爱的冬日精灵，她提着装满小雪花的袋子，将软绵绵的雪花撒向世界，给单调的冬色增添了一丝趣意。,2,,,,,999,skin364,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变身功能，改变造型和状态！,3,changeskin,#cda5b0a变装：可切换冰雪精灵形态，点击左侧按钮预览。#n,,genius,特性：冬日精灵不受任何冰冻影响！,,bodyeffcet,特殊材质：服饰上点缀着炫彩冰晶！,,headicon,头像框：获得后自动解锁头像框。,,,,dtxx_beijingtu136,,0,,,,,,180,,,,,,27246,,,2_363,,363,,,,,,,,,,,,,,,,,,,,,,,1061001,,,,
